eftsl,perm_res_postcode,usual_resident_population
439.26169966300006,2650,56974
419.30829991999997,4740,80089
372.385349645,4670,79606
360.054811135,0810,33302
355.41186743699996,4870,71009
353.790725455,4305,62549
352.92220000000003,4300,55669
332.556220946,7250,48050
331.752264458,2340,49072
328.9518915349999,2480,44599
320.80306328200004,2350,25339
313.36716666899997,3977,93326
313.1399656660001,3030,100313
304.48463264199995,2800,44993
295.376634964,3029,93950
293.02261263700007,2250,67194
287.73368264500004,2444,46284
285.28966369899996,2450,43894
282.04299709500003,4680,54166
281.42766666399996,2560,76521
279.03775735700003,2170,105451
279.027533983,2795,42550
269.47390734600003,4701,42762
253.816172464,2830,40291
250.92844093800002,4655,59539
248.22999209499997,4053,43986
247.44025663099998,3216,56284
246.876358329,4209,50073
242.790147715,4814,46124
237.702927372,0870,19628
232.322605764,3350,59145
229.723119749,4211,60801
224.61150843899998,2145,79211
222.830968332,4352,28460
221.91239596399996,3064,75457
213.706104107,6112,56554
213.10652166300005,2259,59513
210.587201091,2155,55452
210.13891303900002,4152,44684
209.84306666600003,4503,43651
203.55271720899998,2620,39289
203.406635338,4810,21836
201.046666666,3805,56933
199.72773050400002,4034,44463
198.54406620000003,2615,44177
198.135432989,2640,36343
197.32604166599998,3199,54298
195.82850834500005,3690,33518
193.57813333200002,4500,42401
193.38829166599996,2287,36400
193.33889021700003,4306,35798
192.29655822400002,6210,68316
192.090459409,2500,40510
190.84412569800003,6164,57214
190.06829639699998,3810,47894
189.50375189,6065,61998
188.71375108400005,2148,63071
188.456358696,4207,55215
187.484566664,0820,19447
187.16174313699997,2750,44806
186.39787126999997,4818,28218
185.94040366399997,3550,40339
185.74659858700002,4122,43850
185.07706223,4551,56733
184.87228333199997,2570,40104
184.31848526299999,4051,27531
183.845570856,2261,52754
183.41470760099998,3806,48520
180.684354868,2913,35053
180.46190146600003,4215,50166
177.01250057900003,2602,30450
172.757291662,6530,32455
172.1499,2153,56562
171.94636666399998,2747,42421
171.41594475099998,2430,34018
170.16621709999998,4817,30413
165.338514319,2567,38500
164.305693986,6230,43134
162.600408332,2540,45121
162.075839777,4170,24514
162.00938809500002,4017,36869
160.624999998,4301,28240
160.58375,2460,29216
159.73949999699997,0832,15570
159.216091667,2478,28310
158.02161992599997,3121,30499
156.602110451,4509,30105
154.469500004,3136,44369
153.021131095,4650,33891
152.700582762,4165,36815
152.016445027,2914,25204
150.492545613,3150,60079
150.47301738700003,2099,39925
150.03696333099998,2617,32503
148.953133741,6171,31653
148.888417408,4556,43340
146.847478785,3023,63972
146.746470785,4069,33627
146.351712007,6069,39391
145.56800217299997,4220,31233
145.527676449,2320,34556
145.15104166700002,4226,32243
143.61033330999996,6030,39386
143.194124541,4214,37238
142.50359084599998,2251,32702
142.419918277,7018,21027
141.95764702499997,2611,28018
139.76088333799999,3754,37757
138.780218355,2290,33426
138.680455801,4217,40836
138.068275905,6163,50359
137.89660722600001,4075,23352
137.87809271400002,6155,51244
137.716306359,4510,48304
136.712969321,3280,31569
136.34583333,4218,31864
135.750431628,6330,35869
135.547354203,4006,14530
135.518333334,4101,22861
134.459099996,2285,30714
133.924784781,2580,29224
133.46129986199998,2077,37791
133.03614961,2486,31594
132.954592541,7310,27101
132.82472826100002,0812,18873
131.523244719,7000,13837
131.07543221,4702,28609
130.44608204399998,3056,24473
129.937499997,0830,18207
128.94834779500002,3037,51155
128.805999701,3630,31272
128.243441664,2171,34866
127.908582545,3058,33778
127.30863333199999,2233,29498
127.131199996,5290,25512
127.05682810399998,6027,41677
126.87924969300002,4012,21828
126.176179939,2065,30119
125.395948298,2230,28843
125.29192499999999,2770,61296
123.505555555,5114,33959
123.10552537699999,3429,36297
122.68343767900002,2745,29504
122.56614166400001,2756,33932
121.661068506,3156,37464
121.57870333300001,3175,53297
121.463477712,4700,17437
120.807866666,4055,20561
120.53534231499997,2154,39594
120.39313845299998,6110,40858
119.72101449099999,4703,22530
119.63501666299997,2066,31626
119.62500000899999,3073,50474
118.999285427,6018,38004
118.92346274599998,2031,34726
118.87036537999997,3500,32738
118.748258469,2763,30880
118.29552711800001,4121,25264
118.044135035,2905,28625
117.583399992,4825,19246
117.55788241800002,3195,35869
117.10699999799999,2260,23417
116.89721453199998,6107,43605
116.887441666,4066,16698
116.22820850900001,3070,24561
115.936675012,4216,37435
115.43843333000001,4078,25806
114.715258333,2234,30580
114.45112042600002,6056,39167
114.41972173500001,4005,17876
114.37702338600002,3141,25147
114.1229,4213,29042
113.456033365,3178,33672
113.130778285,3122,23511
112.962399628,3032,29450
111.963541666,2880,18276
111.826539855,4570,42420
110.737801932,3220,16353
110.246510868,4221,26802
110.172399998,2229,28718
109.92340920600002,4035,24209
109.641339373,4868,22063
108.823007245,2232,32870
108.583716664,2289,19117
108.549734015,2530,32019
107.757283886,3072,32851
107.58889913,7008,11981
107.53504130500001,4074,23735
107.48086666600001,5159,32934
106.018083695,2680,23940
104.75896393900001,3000,37975
104.75097500000001,2304,15176
104.09534017899999,2042,19129
103.965872468,4068,23617
103.6875,3337,36454
103.593749994,6430,22746
103.0625,4118,30400
102.956358564,4573,26275
102.55787087800002,3152,33092
102.525,2280,26678
102.24004434599998,2147,36341
101.606113332,2777,17601
101.446770286,3183,18497
101.401616667,2300,10578
101.32208888800001,2035,34490
101.204708696,7050,12405
101.20400000000001,2760,33834
101.157943115,4030,16530
101.05346523200002,6061,38563
100.70286977399999,4560,31710
100.664332609,4812,18804
100.6358,4815,21032
100.361666667,3163,32353
100.223333354,3551,29565
99.852891329,2291,13417
99.152394347,2204,26502
99.13824507199999,4212,28053
99.09374998599999,6280,28166
98.70796527099999,4103,14316
98.5625,5108,40609
98.32513986200001,4869,19010
98.224725,2200,43687
98.04243333200002,2323,25735
97.9687,4227,21687
97.89798913,2026,32490
97.71679999999999,2168,43451
97.3341,3844,28980
