eftsl,perm_res_postcode,usual_resident_population
97.29492500500001,2529,26025
97.20833329899999,6025,30031
96.837566668,3134,32781
96.792625,2456,14749
96.62573333000002,2257,29010
96.131741666,2612,16184
95.83112058,2440,21819
95.83041666899999,3095,27771
95.80145797,3040,25936
95.118984806,4370,18521
95.078443478,2176,47809
94.79138998499998,2112,32852
94.68898545,2010,27734
94.405199673,3046,34063
94.163888888,3181,20260
93.790057162,2604,10383
93.694580434,4109,37607
93.68366449199999,4031,13588
93.270833332,7320,16238
93.10476666900001,3149,33611
92.88539999999999,4879,19447
92.6466,2452,15120
92.55864000000001,2017,24695
91.957757817,6152,25463
91.85995874500001,2040,22242
91.74804999999999,2761,30952
91.32453333099998,4171,15721
91.09375,2850,17644
90.910980646,6055,21034
90.793700004,3182,23391
90.494166667,5162,34294
90.42739710200001,3174,38461
90.30025,3130,32174
90.25,4077,30758
90.065640096,3196,25327
89.95888833000001,2207,28534
89.900425078,4151,16282
89.859810142,4000,16552
89.81972222099999,3146,25255
89.776425,2011,21196
88.875766664,4208,19965
88.66570257699999,6169,34667
88.38153575,7249,12774
88.13509760699999,2000,27411
88.02968666700002,2076,24648
88.01438402899994,2122,31160
87.69622916200001,4127,26373
87.61548913,2484,18872
87.410201832,3101,24605
87.234375,4178,25208
87.1057,2541,25641
86.240419565,2305,12506
86.122281594,7005,13305
85.923216664,2566,26327
85.88590434599999,2088,28475
85.87654444799999,3082,29710
85.822824635999993,3084,25517
85.629109857,2036,30407
85.354166668,3910,22588
85.028402171,4169,13995
84.6216,4210,19475
84.26039214400001,4064,10837
84.136206847,4019,20106
84.06298667600001,3044,27116
83.89105,2150,31500
83.820383332,4720,14394
83.8125,4405,14485
83.72316195799999,3011,21462
83.18997499999999,2210,30586
83.10419999999999,3020,44783
82.970108674,6028,22440
82.84375,4113,29913
82.81608695700001,3204,30635
82.80185,2046,26822
82.54745,2325,28460
82.53888043399999,2780,13224
82.51905506599999,6062,32670
81.88409626,3228,17939
81.615365639,5095,20525
81.61014167799999,3076,32395
81.52228888900001,3088,26892
81.10292499699999,2137,26507
81.06943333,2759,26332
80.91420000000001,2774,12932
80.888215378,2360,14529
80.818759977,4575,23777
80.803311667,2034,20713
80.678033329,2121,28214
80.661385145,2768,28762
80.41051666799999,3165,27635
80.21423610900001,3875,18625
79.84374999900001,4116,25936
79.6091,2160,35973
79.546206568,4032,15777
79.45744550699999,3145,23295
79.298528955,4011,15180
79.221917459,5118,18411
79.068847827,6167,26444
78.85416665999999,6714,16829
78.1875,5158,24735
77.924939185,2906,17633
77.648814509,3071,18568
77.3125,3024,23849
77.259608456,4504,18573
77.07746413,2196,31815
76.99168242,4811,13142
76.894026712,5085,19974
76.81753441900001,4060,13039
76.778666663,3850,14779
76.644052406,3083,31526
76.5625,3021,54191
76.431744935,4105,13321
76.21875,4020,22043
76.151041667,3028,29201
76.083333323,6233,18844
76.07455739600002,3012,26298
75.990679288,6060,23393
75.747288332,2614,19390
75.593816666,2322,18450
75.574634782,4123,18491
75.4511,4304,17316
75.301466665,2120,20208
74.86461666800001,2641,15070
74.65785,2217,26843
74.54536533800001,3068,18662
74.27083333600001,3752,24060
74.09975845299999,7010,16842
74.04728260899999,4223,13892
73.82954666499997,2100,20911
73.43878985399999,3184,15543
73.4375,4558,19163
73.391775,5606,14128
73.300316666,2519,16929
73.266775,2428,24009
73.174143332,4610,14840
73.009955249,2477,12203
73.00084166700002,2074,22258
72.92386626000001,3031,18531
72.875641065,4132,26215
72.668445511,3127,18445
72.1844,2324,23648
72.17766666700001,2216,28067
72.15945031300001,4124,19672
72.125,4341,14592
72.078522841,6725,10795
72.03125,3802,24298
71.9769,4285,20247
71.882375395,2263,24267
71.78856666600001,2190,25566
71.757880433,3166,23757
71.74995746100001,4061,16692
71.52117862799999,6064,31325
71.471666667,2166,52762
71.4375,2470,15225
71.4375,3138,21967
71.0626,3201,20711
70.976244896,6168,24027
70.9504,2125,16374
70.944671108,3124,22094
70.845108696,4059,13495
70.721625,2767,22530
70.365625107,3219,19715
70.0864,2060,13988
70.064718882,5125,19218
70.005905,2283,23300
69.803554999,5000,15115
69.760766667,2161,31418
69.66160221,7015,10332
69.619791672,3677,18102
69.583333333,4179,19291
69.46518,2282,14777
69.260979554,6101,16551
69.25,4115,19308
69.2414,4054,13620
69.20947458500001,4108,6028
69.18743043399999,4878,13486
68.99610000000001,2151,21306
68.42664991599999,3978,10648
68.24999999799999,4557,18985
68.171875,4157,19035
68.14030000000001,2093,22873
68.05953913,2223,20910
68.054199989,6054,20378
67.93215502000001,2131,23841
67.88020500100001,2550,15858
67.76888925099999,3055,14159
67.765625,2330,20350
67.628399759,3931,23989
67.570745856,4007,12769
67.5507,2753,17134
67.44290000000001,2195,27154
67.40625,4280,16862
67.20465259400001,4506,21810
67.054347826,7009,12453
67.021358791,6076,21948
66.937500004,3976,25530
66.87395658,4070,11613
66.845025,3215,20616
66.61666665000001,6019,21787
66.61603226400001,2114,24057
66.348333333,3038,27262
66.259294444,2117,21285
66.083333318,6031,16624
65.88998101600001,2113,18371
65.8125,2315,14658
65.774808081,2454,7570
65.69405,5540,15343
65.64062500200001,7248,15776
65.546633334,2527,21383
65.516966667,2228,18361
65.499999993,6111,23068
65.375,4128,16506
65.24098681999999,3226,14165
65.236483334,2173,14433
65.03179891,2321,14625
64.9375,3109,28360
64.89030845799999,6059,23486
64.758361592,2518,19067
64.66864209900001,3006,18808
64.656249996,3338,23412
64.48442753399999,2213,21784
64.461325967,5251,14623
64.439799998,2101,19395
63.8125,4164,14694
63.671875,3173,25785
63.570027174,3123,14321
63.541666666,3192,22291
63.3679,3133,22125
63.363621878000004,5043,18780
63.10661188500001,2607,13614
63.10576060099999,3218,13437
63.042950925999996,2205,19447
63.014820142999994,3015,17472
62.826652587000005,2118,24341
62.820226799,0800,6464
62.809352944000004,2902,14900
62.787225,2446,13330
62.02293333400001,2144,37366
61.922588127000004,2487,13436
61.915760858,6151,16576
61.913375,2481,11769
61.754335313000006,2142,26292
61.748641304,7030,17404
61.3858,2594,11672
61.384566666000005,3212,16652
61.324585635,4505,20452
61.284310171,2203,13707
61.192337728,3340,21121
61.143299999999996,4161,16254
61.11458,2606,9422
61.075,3172,23089
61.042433332,2262,20830
61.000944444,3185,12929
60.8168,2165,42444
60.782185713000004,3051,14940
60.75,7315,14658
60.291666654000004,6122,17410
60.25,7011,14696
60.205247101000005,2127,14532
59.990124666,6026,22337
59.9375,4018,12153
59.8692,2533,15627
59.752934118999995,3085,13886
59.471525,3222,14960
59.345833334,3555,19687
59.29625,4120,8936
59.274836955999994,3128,19828
59.208908332,2870,12042
59.187500008,3631,11612
59.182483332000004,2582,12442
59.138586952000004,6148,17814
58.819293478,3930,17888
58.8125,0850,8138
58.765,3214,23964
58.756100000000004,3934,18548
58.701325274,3820,15952
58.5747,4160,18139
58.520833324,6170,12393
58.340526657999995,2904,12863
58.3125,4014,11913
58.301913333,2749,16930
58.291666667,2298,9498
58.217374998000004,2075,20451
58.207799978999994,6036,15796
58.046961326,4455,8486
57.887777174,2220,32487
57.875393892,3013,14965
57.875,4065,9500
57.529791665999994,2380,10392
57.518575360999996,2037,16115
57.4175,2333,13647
57.415276667,5086,16141
57.328500000000005,2141,28675
57.280933334000004,2126,18765
57.166699998,3400,14543
57.164133331,6108,23153
56.990106521,2095,15866
56.759487476000004,2049,11282
56.708333334,3131,22504
56.412699999999994,2086,13414
56.1716,4343,11359
56.028985507,2483,10609
56.010660868,2565,19987
55.877388888,2146,17465
55.812717685,3188,18083
55.801162770999994,3186,23253
55.576688888,5082,14930
55.5284,2299,11207
55.52160000000001,2111,14412
55.505208334,2526,15630
55.499162053,6014,20604
55.455425,2041,15690
55.39468232,3198,16463
55.277759965,3135,19956
55.062499998999996,3153,20554
54.830122006,2603,9359
54.784105012000005,7054,8745
54.771462518999996,2135,25251
54.761242393,2539,17979
54.592183333,2138,20023
54.561118785000005,4114,29064
54.4475,4133,17769
54.436249998,3912,15157
54.388986989,5045,15589
54.334299998000006,4102,7660
54.30285,2021,15313
54.280283332,2156,12942
54.164333334,2067,26403
54.04483333300001,2073,16352
53.986413031,6000,11425
53.792294719,5022,15743
53.77863,4159,14497
53.751775,2528,23774
53.75,3155,22195
53.722875,2096,14657
53.689764491999995,2605,11725
53.623244699,6051,12577
53.619791667,2536,17716
53.526355194999994,5092,17569
53.5,3108,20826
53.457452556,2485,14373
53.4375,7307,10125
53.000575000000005,2577,15414
52.844325000000005,2790,15767
52.83242753300001,4520,13196
52.78125,2630,8691
52.725144844,2107,14669
52.5888,2318,12147
52.583333335,2515,11112
52.572916672999995,3104,20406
52.562496668,3106,16618
52.276041669,3691,9704
52.275815210000005,6008,15144
52.074322905,7004,7481
52.033333331,6010,16825
52.005218322999994,6149,18476
51.906666667,2018,17028
51.875,5115,10390
51.574883977000006,3057,11504
51.5077,2211,16846
51.367451026,3103,15343
51.313942603,2619,9508
51.303333332,7052,7145
51.262967192,5062,14917
51.198068854,3169,20122
51.163897035,2068,16813
51.010799984,6066,18704
50.958333332,3207,16175
50.604166668,2600,7247
50.509524631,2390,8757
50.5,4880,13295
50.272530434000004,3193,19508
50.081439167,4508,19850
49.9696,2020,14772
49.81303333300001,2194,24541
49.73610000000001,2571,11850
49.666666686999996,3556,13085
49.4483,2517,13731
49.410430145,3975,15248
49.156666654,6021,20058
49.02623332900001,6100,14480
49.018783328,6156,16897
48.9691,2765,16106
48.870175,5169,17084
48.8335,3132,16148
48.773149531,6157,13525
48.769039502000005,2576,13431
48.707692908999995,2097,15529
48.624999998,5109,20856
48.59651649199999,2015,9918
48.57760989,3079,15988
48.442679558,5048,14225
48.424166666000005,3939,14524
48.339166663,6153,19865
48.156479176,3162,17448
48.078125,2871,9349
48.015625,2429,9717
48.01113,2089,11918
47.994791663,6173,12073
47.975386326000006,2525,11564
47.9375,3809,7210
47.573985452,3161,15269
47.564033334,2048,7938
47.527291665999996,2227,14626
47.367345764999996,2303,9143
47.354933333,3129,17376
47.181025553,3047,20903
47.1667,3142,12909
47.125,5097,13565
46.963766666000005,5070,14270
46.955233334,2193,15256
46.8125,3825,20281
46.45955039599999,6053,14432
46.458333343999996,3059,15466
46.443600000000004,4311,10599
46.42785,2575,15476
46.423007246,7109,8808
46.199999992,6038,6269
46.179766666,2206,19404
46.119547695,6050,15380
46.104166666,2912,6142
46,2226,12504
45.935791112,2016,13213
45.931826091000005,3065,10445
45.911244444,3053,18535
45.67815568700001,3067,8197
45.666666673,3048,18029
45.398097826,3039,14250
45.257596684999996,5067,10144
45.18228565900001,2256,15598
45.10426666400001,5038,15262
45.083718839,3170,19368
45.015299999999996,2766,15534
44.895833342,3075,22594
44.880208329,4802,9832
44.875,2400,10084
44.874552077,3818,14167
44.84720000000001,2199,18013
44.766666664,3217,6607
44.547833329,2773,6010
44.5209,3936,11024
44.5,5608,13357
44.4236,2019,10838
44.307291676,3564,15944
44.219984836,2038,9451
44.208330001,2463,7545
44.159166664,4073,9138
44.09901087,4163,14801
44.03315918,5087,11378
43.999999998,5011,11712
43.9753,2264,14233
43.886235869000004,2705,10153
43.880641929,5063,12308
43.711364494,3081,13424
43.71059,5066,11718
43.599999996,6172,13777
43.321447866,6020,20791
43.130105555,3224,14187
43.022235233,3160,9014
42.998414849,6450,13397
42.90198057,6162,11023
42.899456521,3004,9307
42.840540332,2050,8963
42.75,5096,13387
42.738184602000004,3089,11733
42.687500011,3078,11638
42.535797899,6102,13688
42.34375,3139,13718
42.251902894,2140,16167
42.234375,2370,7687
42.229281768,5031,9933
42.20910000000001,2281,14274
42.145591783,5041,13391
42.051795580000004,3147,14637
41.71944,3018,12689
41.64081232000001,3054,8428
41.500000008,3066,8513
41.5,4154,10974
41.442151087,2782,6076
41.40433155,2218,16431
41.393485267,5072,12666
41.23059,5023,16572
41.148133334,2132,10612
41.00115,2537,11812
40.921875,3042,15766
40.9103,2033,11570
40.8125,7017,5614
40.70833331600001,6035,8868
40.704790214000006,6009,18534
40.6875,3585,11206
40.638194444,3352,15996
40.625,3187,15998
40.604166664000005,6004,10596
40.560658375,6285,9177
40.5494,3305,12816
40.527472527,3356,16321
40.5,3840,16476
40.454232225,7325,8586
40.445499999999996,2769,11731
40.314276814,3140,16531
40.287800000000004,2090,13724
40.265625,7277,5713
40.167119565,3941,12172
40.076466667000005,2115,10737
40.057744565,5116,9455
40.041666662,6023,15268
39.9537,4567,11016
39.884441304,5211,15276
39.80552485700001,6104,14321
39.804923333,3205,10920
39.776425,2219,13200
39.761566667,5008,13681
39.549191086,3125,15019
39.517497898,4067,10424
39.384516575,4502,8674
39.375,3016,15560
39.375,2558,11114
39.229619565,4037,7973
39.189686929,3450,6834
39.148294413,3060,14043
39.1358,3008,10437
39.11645232,5024,13846
39.090266666,2221,16481
39.083330000000004,3194,12965
39.0163,2224,14213
38.94579833400001,2209,15769
38.943566667,3168,20197
38.875,5253,18489
38.866386664,5044,10875
38.8125,3137,13871
38.75,5051,14074
38.5,3116,9872
38.322852858000005,4390,6878
38.3125,3191,10241
38.205150002,3041,12412
38.125,2489,7353
38.04392115,4380,7907
37.94095,5073,15238
37.9097,2103,10670
37.905015249,0836,7756
37.89660000000001,2164,19624
37.875,7170,5008
37.75,2903,9207
37.61706666600001,2070,13505
37.58333333,4850,10918
37.4375,3171,21714
37.351970529,6006,8744
37.33361,5127,7763
37.25,3197,11548
37.088793136999996,3043,17716
36.817679557000005,2482,6280
36.760799998,5081,9279
36.741666658,6057,16806
36.710685831,2069,14253
36.625000004,3750,9060
36.588733336000004,3074,20523
36.555108563999994,2106,9301
36.554040055,2794,10428
36.546702348,7140,10974
36.398899998000005,2087,12798
36.382476662,6105,14997
36.145523806,2032,16689
35.8935,2030,14079
35.8858,4225,7754
35.81,5107,17097
35.679299437,6016,10035
35.625,2284,10500
35.574310870000005,2158,8575
35.4844,2039,8725
35.474990995,5069,8292
35.41665165,6103,10366
35.381733425,5034,10042
35.31365,2758,8715
35.25,0835,5132
35.24536,2508,8975
35.211591668,2043,8014
35.208333331999995,5113,18890
35.155550000000005,2079,7095
35.14660000000001,2162,18622
35.125958332,2152,11215
35.125,5006,6950
35.03125,2710,10123
35.012001055,2024,11073
34.901233332000004,5700,11136
34.890625,2720,8012
34.8872,4131,10439
34.874999998,2557,8952
34.8586,4564,10591
34.833333332,6058,12690
34.799999994000004,6052,11113
34.770357915000005,5014,11767
34.531249998,6147,15138
34.400955341,4507,18142
34.3773,2564,13924
34.2436,4224,6588
34.166666666,4800,9324
34.124999996,5032,12710
34.080067154000005,3803,10855
34.0625,2337,7891
33.920833331,0822,25560
33.908114835,3300,10088
33.828125,4110,10918
33.62777778,3796,9702
33.552083331999995,2516,6105
33.541666662,6150,13146
33.530833333000004,3151,10273
33.522214547999994,6166,9509
33.49956865,2022,12507
33.471831085999995,5068,12184
33.375,4173,8290
33.319199999999995,4130,8532
33.1983,2447,7178
33.145833332,6722,9848
33,2265,5805
32.968750004,3629,9127
32.875,2820,7316
32.801595259,6063,14359
32.775672591,4565,14500
32.609375,2646,6758
32.5733,2212,15847
32.4375,4514,7404
32.423913044,5061,9695
32.420342234,5016,8851
32.3125,2044,7846
32.291669999999996,2448,9000
32.151041667,3148,8641
32.09048853,5042,10837
32.051386957000005,2464,6738
31.98031768,3437,10439
31.961730000000003,2779,4974
31.83793333300001,2119,11643
31.791666666,3953,7855
31.772520505,3144,10886
31.666666666,6232,10886
31.580603038999996,3025,12152
31.5,5093,9012
31.375,5075,10630
31.375,4413,8024
31.338541666,4744,8735
31.25,4112,8108
31.23185,2023,10716
31.227809999999998,5047,8263
31.048025000000003,2177,15979
30.894408071999997,5065,10202
30.876381216,4750,5747
30.875,5112,19421
30.7725,2445,6466
30.749999998,6024,13347
30.731458332,2064,9523
30.724237319000004,2130,7311
30.666663332000002,2911,4466
30.565217394,3111,12347
30.560067859,4883,8428
30.50556,5076,9173
30.5,3158,6652
30.5,2327,7615
30.4375,5173,12769
30.4375,4511,9095
30.436,2085,11624
30.380200000000002,2167,9633
30.25,4807,11038
30.25,2799,4121
30.144337016999998,4865,8119
30.062360869000003,2029,9961
30.025552486000002,5012,11170
30,5291,9171
29.91848,5074,12943
29.903266665999997,2047,11950
29.898125,3922,7738
29.75,5341,7665
29.739236111,3190,10454
29.625,7316,5889
29.58936087,5084,10057
29.458333333,2621,6056
29.458333330000002,4805,10828
29.375,2134,16033
29.346258694,2222,12786
29.307291669,3756,11926
29.235333334,2133,11012
29.14235,2102,7501
29.0625,3444,9198
28.97916666,4715,7127
28.957416665,6160,8211
28.945000001,3107,13552
28.875,2358,3767
28.8182,5083,7489
28.785299996,3033,14514
28.708333332,3672,10330
28.706944444,5007,7084
28.703574999999997,2785,4543
28.625,4737,8137
28.619791661999997,6084,8240
28.618885869,5161,10154
28.5,5163,14125
28.499999998,3777,10751
28.34375,4010,2296
28.280236956,7053,3574
28.238933325,6011,9007
28.0679,4013,4568
28.0625,7007,3066
28,2762,4983
27.916666666,5037,10786
27.913242558999997,5039,8851
27.895833332,2474,6332
27.875,4660,7145
27.833326665999998,4104,6535
27.760693159,2590,7093
27.758879711,2008,11712
27.699999994,6007,7130
27.683167391,2009,12813
27.604933332,2534,5709
27.583333328000002,6208,11838
27.5,3355,13014
27.403532605000002,5064,9855
27.375,3764,9165
27.261429565,5015,5697
27.249999998,4820,10843
27.1304,5049,9764
27.125,7330,6592
27.0625,5600,6202
27.049481768,2208,12446
26.9375,3102,6635
26.916666666,3105,10873
26.8912,2335,6156
26.875,5033,8373
26.875,3730,8833
26.75,4125,7142
26.708333331,6532,6725
26.690607735,3143,9054
26.661458332,5725,3888
26.625,4860,11296
26.584944751,0872,15469
26.541666665999998,3620,8240
26.4375,4107,6290
26.4103,2045,6457
26.3858,2502,12438
26.375,7321,4672
26.364640882,4871,10978
26.2986,2197,9069
26.234375,3034,11633
26.187499998,6743,6232
26.183619829999998,4562,8035
26.142663044000003,5255,9248
26.142013888,3747,4625
26.1325,3909,7901
26.0978,4552,8432
26.070652169999995,6005,5624
26.058544685,5046,9086
26.03,5098,12321
26,6109,12122
26,3206,10359
25.902166406,4875,8101
25.8125,3465,9776
25.75,3860,7172
25.75,4563,8478
25.748770553,5153,6428
25.69750000000001,2071,13545
25.515538674,3995,10173
25.416666664,5019,9122
25.416666664,3804,8094
25.391966666000002,2192,12718
25.375,2295,6925
25.234375,2343,4968
25.16235,7173,6595
25.03125,2443,8894
24.937499996,6721,4512
24.791666671,3003,5515
24.695161891999998,4501,5658
24.374999998,6281,7203
24.370175,2062,7006
24.208333336,3636,5241
24.125,4356,5179
24.110061854,3002,4964
24.100299999999997,2258,5164
24,4751,4501
23.947916669,3660,7574
23.9375,6211,7088
23.895823572000005,6333,5845
23.75,3644,9227
23.75,2548,7734
23.6875,2143,8921
23.526236667000003,2007,8845
23.475299998999997,2110,10343
23.421875,2700,4922
23.402,2627,4622
23.27713,5035,6103
23.24325,4021,9790
23.234375,5089,6586
23.220833331999998,6154,10028
23.1875,4874,5240
22.910099635999998,4272,4612
22.891199999999998,2546,9121
22.890625,5017,5025
22.88,2292,2465
22.83424464,3094,8960
22.6875,3250,12250
22.645833332000002,4717,4749
22.6304,3027,6646
22.625,3678,6356
22.583333336,3658,6222
22.47111,5091,7505
22.39188,5110,8956
22.37013,5126,7180
22.291666666,6432,7092
22.26416,4566,8124
22.250000004,3113,8457
22.13165,2082,5397
22.125,5090,7887
22.068283332,4553,5891
22.0625,7019,6107
22.057291666,2671,4112
22,4487,3098
21.88545,2642,4793
21.884510868,4036,6502
21.850066666000004,3126,8056
21.75,5013,9985
21.708333330000002,6180,5408
21.6875,3377,9416
21.651694234999997,5252,6516
21.5,5501,7323
21.499999998,6012,8757
21.493055548999997,6158,7376
21.453125,4881,4496
21.44528889,2025,7405
21.410572173,2601,6363
21.403056667,5052,6369
21.375,3019,9195
21.3192,2535,7338
21.307844901,2835,4173
21.230404005,7172,3650
21.125,4816,9270
21.125,4671,6061
21.08053,2136,7364
21.0475,2506,7605
20.958333336000003,3757,8959
20.9375,5271,7428
20.9375,4119,6341
20.900207182,2365,3721
20.8233,2776,4025
20.791666666,7322,3903
20.791666663999997,5152,6132
20.75,6401,8176
20.75,2293,2521
20.708333332000002,4172,4303
20.6875,2307,3905
20.645833336,3167,9261
20.645833330000002,7300,3423
20.583333332000002,4401,5719
20.4375,3442,7463
20.4167,2316,5849
20.391199999999998,2574,5741
20.375,5333,5809
20.375,4519,8426
20.334866667,2061,5943
20.294889503,4741,7079
20.291666665999998,6174,3785
20.25,2505,5014
20.23031768,4184,6906
20.217152474000002,2092,7139
20.1875,4129,6303
20.1875,3052,5694
20.125,3807,7097
20.109375,5351,5864
20.0625,7171,3283
20.0061,2317,6244
19.985054347000002,5355,7594
19.875,3179,6022
19.875,3087,9031
19.875,4710,4846
19.78125,2666,5673
19.75,3782,7827
19.6929,2225,5407
19.6875,4615,7052
19.6466,2441,4345
19.625,5280,7370
19.625,4555,6925
19.625,0880,5214
19.596467391,7112,3066
19.59375,6258,6568
19.578125,2198,9038
19.5625,2866,3093
19.40625,7306,3956
19.34375,2754,5693
19.331490000000002,7150,2837
19.309782608,5050,5602
19.291666666,6751,4927
19.25,2479,4730
19.25,4340,5451
19.1875,2431,5133
19.171961326,2455,3000
19.125,7021,2411
19.070383425,2372,4742
19.0077,2072,7668
19,7304,5939
19,4561,7212
18.96875,2651,2274
18.958858396,3351,8168
18.902472527,2294,1929
18.5972,3799,5798
18.583333334,4873,6458
18.538043478,4022,7165
18.5,2573,5067
18.429000000000002,2094,5840
18.421875,2652,4583
18.4028,3765,6761
18.385416664,6225,9105
18.3125,4153,4374
18.312499998,2877,3883
18.25,2488,3261
18.25,4753,4282
18.234375,2352,2716
18.083333336,3496,6224
18.021216666999997,3434,5069
18,3331,5997
17.9836,7253,4925
17.875,5214,8397
17.875,3662,1078
